107,64
164,64
232,63
299,65
363,65
430,66
496,64
545,64
593,63
640,61
670,93
664,131
664,171
665,214
609,215
562,214
539,175
541,137
594,138
631,136
496,139
448,137
402,136
351,138
304,136
253,136
204,138
149,137
97,136
65,139
66,179
68,213
118,215
162,213
194,216
192,174
190,260
192,310
190,354
189,391
145,390
103,389
66,390
67,434
68,477
68,519
96,534
135,538
180,539
110,464
153,466
191,463
191,432
229,392
267,392
268,432
267,474
267,512
267,545
305,542
354,541
402,540
457,541
463,480
462,437
466,395
505,389
545,393
590,392
641,392
668,425
667,465
667,508
665,540
620,540
577,540
539,542
623,461
589,465
546,466
542,432
540,346
541,302
540,254
538,214
236,316
279,312
320,314
359,312
402,313
444,312
488,317
64,103
